University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of New Mexico (UNM),Sociology,"$14,198",0.68,2016-2017,1st,
University of Utah,Sociology,"$15,674",0.70,2016-2017,1st,16k stipend with subsidized healthcare you pay for.
Northeastern University (NU),Computer Science,"$31,640",1.10,2016-2017,1st,
University of Oklahoma Health Sciences Center,Pharmacy,,0.00,2016-2017,3rd,
University of Denver (DU),Math,"$24,500",1.09,2016-2017,1st,
University of Kansas (KU),English,"$15,567",0.76,2016-2017,2nd,
Morgan State University (MSU),Physics,"$18,000",0.70,2016-2017,1st,
Johns Hopkins University (JHU),Sociology,"$28,500",1.11,2016-2017,1st,
Duke University (DU),Sociology,"$28,212",1.27,2016-2017,1st,
Pennsylvania State University (Penn State),College of Communications,"$20,000",0.89,2016-2017,1st,"We get paid on a ten month schedule with a small number of competitive summer grants OR adjunct positions available. Student health insurance covers many, but not all, procedures. Not equitable with the cost of living in the area; wealthy undergrads drive up rent costs considerably without rent caps in place."
North Carolina State University (NCSU),MEAS,"$14,843",0.65,2017-2018,1st,
University of Pennsylvania,engineering,"$30,500",1.27,2017-2018,1st,
Texas A&amp;M; University - College Station,Counseling Psychology,$20,,2017-2018,1st,
Texas Tech University (TTU),Chemical Engineering,"$29,000",1.43,2017-2018,1st,
Texas A&amp;M; University - College Station,Chemical Engineering,"$24,840",,2016-2017,1st,"Additonal $7,000 bonus from industrial partners this year"
Brigham Young University (BYU),Chemical Engineering,"$23,000",1.11,2016-2017,2nd,No health coverage
University of Texas - Dallas (UTD),Finance,"$36,000",1.67,2017-2018,1st,Plus annual research budget.
University of Pittsburgh,Finance,"$26,930",1.30,2017-2018,1st,Health insurance is covered. Fifth year funding is lower
University of Delaware (UD),Mechanical Engineering,"$28,300",1.11,2016-2017,,
UK university not based in London,Fulbright Student award,"$12,700",,2017-2018,1st,"Fulbright postgrad for an MA; amount is in pounds, not US dollars"
Northwestern University (NU),Learning Sciences,"$30,780",1.27,2017-2018,1st,Plus full health subsidy
Purdue University - West Lafayette,Aeronautics and Astronautics,"$28,000",1.32,2016-2017,1st,Purdue Doctoral Fellowship
Texas A&amp;M; University - College Station,OM/Business School,"$27,000",,2014-2015,1st,Plus health insurance for single. You pay around $80 per month for family
Ohio State University (OSU),ece,"$25,000",1.25,2016-2017,1st,
University of Southern California (USC),Education,"$32,000",1.24,2017-2018,1st,
Ohio State University (OSU),Education,"$15,000",0.75,2017-2018,2nd,
Ohio State University (OSU),economics,"$24,220",1.21,2016-2017,1st,
University of Arizona (U of A),,"$15,500",0.75,2017-2018,1st,
Washington University in St. Louis (Wash U),Biomedical Engineering,"$27,658",1.34,2016-2017,1st,
Baylor College of Medicine,Biochemistry,"$30,000",1.37,2016-2017,1st,"Tuition waiver, health care (health and dental, no vision) included"
Virginia Tech,ISE,"$1,577",0.07,2016-2017,3rd,
Massachusetts Institute of Technology (MIT),Mechanical Engineering,"$37,000",1.32,2016-2017,3rd,
Massachusetts Institute of Technology (MIT),Mechanical Engineering,"$32,460",1.16,2016-2017,1st,
University of Mississippi (Ole Miss),Psychology,"$25,000",1.15,2017-2018,1st,"The first year included a supplement that will likely be absent in future years. Base rate for years 2-5 will roughly be between $18,000-21,000."
University of Notre Dame (ND),Political Science,"$31,000",1.51,2017-2018,1st,
University of Texas - Austin (UT),Political Science,"$31,000",1.36,2017-2018,1st,
Northwestern University (NU),Political Science,"$30,850",1.27,2016-2017,1st,
University of Notre Dame (ND),Political Science,"$31,000",1.51,2016-2017,5th,
University of California - Davis (UCD),Linguistics,"$19,250",0.80,2016-2017,1st,
Rensselaer Polytechnic Institute (RPI),Chemistry and Chemical Biology,"$28,026",1.23,2017-2018,1st,
University of Connecticut (UConn),pharmacy,"$24,000",0.99,2017-2018,1st,
Ohio State University (OSU),Statistics,"$19,120",0.95,2016-2017,1st,
University of Minnesota - Twin Cities (UM),Statistics,"$21,500",0.94,2016-2017,1st,
University of California - Santa Barbara (UCSB),Mathematics,"$19,700",0.75,2017-2018,1st,"Minimum of $20,050 for 50% time TA duties (approximately 16 hours/week) for 5 years. Can receive funding for a 6th year, if necessary. Summer assistantships are ""readily available"" for students. An estimated $350/quarter fees during the first year, and awarded a ""fees fellowship"", so there are no expected additional fees in the remaining years."
Middle Tennessee State University (MTSU),Biology,"$18,000",0.78,2017-2018,,
University of Alabama - Birmingham (UAB),Biomedical Engineering,"$23,000",1.07,2016-2017,1st,
University of Iowa (UI),Civil and environmental engineering,"$27,000",1.22,2016-2017,1st,
Syracuse University,dentist,"$40,000",1.87,2016-2017,,
University of California - San Diego (UCSD),Mechanical and Aerospace,"$33,655",1.27,2016-2017,1st,
Cornell University (CU),Biological and Biomedical Sciences,"$43,500",1.79,2016-2017,1st,Cornell pays DVMs (veterinarians) on the NIH post-doc scale
Purdue University - West Lafayette,English,"$17,000",0.80,2017-2018,1st,
University of North Carolina - Charlotte (UNCC),Math,"$14,150",0.62,2017-2018,1st,
Georgetown University,Economics,"$30,600",0.99,2016-2017,2nd,
University of Washington (UW),polisci,"$20,000",0.86,2016-2017,,
Columbia University (CU),Applied Physics and Applied Mathematics,"$48,000",1.61,2016-2017,5th,
University of Illinois - Chicago (UIC),Physics,"$17,565",0.72,2017-2018,1st,
University of Kansas (KU),,"$17,000",0.83,2016-2017,,
University of Texas - Austin (UT),Aerospace Engineering,"$24,500",1.07,2017-2018,1st,"GRA position, full tuition and fee waiver plus Health Insurance"
Louisiana State University - Baton Rouge,Chemical Engineering,"$22,100",1.02,2017-2018,1st,No health insurance subsidy in mentioned in the offer.
Auburn University (AU),Chemical Engineering,"$24,000",1.11,2017-2018,1st,$900 health insurance subsidy. Rest ($1041) of the amount will have to be paid by the graduate student.
University of Utah,Chemical Engineering,"$28,000",1.26,2017-2018,1st,Graduate Fellowship. 80% health insurance will be paid by the university.
University of Pennsylvania,Bioengineering,"$31,000",1.29,2016-2017,2nd,
Thomas Jefferson University,Immunology and microbial pathogenesis,"$28,110",1.17,2016-2017,1st,This is based off the offer letter I received and the website listed fees. I'm accepting another university's offer.
Pennsylvania State University (Penn State),Engineering,"$34,000",1.51,2016-2017,1st,
University of California - San Diego (UCSD),Sociology,"$20,000",0.76,2016-2017,1st,
Albert Einstein College of Medicine,Neuroscience,"$33,000",,2016-2017,4th,
,,"$36,000",,2016-2017,,
University of Virginia (UVA),Classics,"$22,000",0.96,2017-2018,1st,"$18k/academic year, $4k/summer; five years guaranteed. First and fifth year fellowship."
University of California - San Diego (UCSD),Scripps,"$34,000",1.28,2016-2017,3rd,
,,"$15,000",,2016-2017,1st,
University of Alabama (UA),Health Sciences,"$13,400",0.64,2016-2017,1st,
Rice University,CHBE,"$27,500",1.26,2016-2017,1st,
Case Western Reserve University,EECS,"$2,400",0.12,2017-2018,3rd,
University of Delaware (UD),English,"$19,400",0.76,2016-2017,2nd,
Duke University (DU),Biomedical Engineering,"$30,550",1.37,2017-2018,1st,
University of Minnesota - Twin Cities (UM),Mechanical Engineering,"$27,422",1.20,2017-2018,1st,
University of Maine,Chemical and Biological Engineering,"$19,200",0.89,2016-2017,2nd,
University of California - Berkeley,Bioengineering,"$40,000",1.44,2017-2018,1st,$36000 base stipend + $4000 relocation bonus
University of Minnesota - Twin Cities (UM),"dept. of design, housing, and apparel","$10,818",0.47,2017-2018,1st,
Florida State University (FSU),Information Science,"$11,956",0.51,2016-2017,1st,
University of Victoria,Chemistry,"$17,800",,2016-2017,1st,"TA = 6700, Academic Award = 3000, the remaining is RA Tuition = 7200, Health + Dental = 540"
University of California - Santa Barbara (UCSB),Earth Science,"$20,050",0.76,2017-2018,1st,
University of Maryland - College Park (UMD),Geology,"$25,850",0.85,2017-2018,1st,
University of Arizona (U of A),Geosciences,"$18,554",0.90,2017-2018,1st,
University of Massachusetts Medical Center - Worcester,Graduate school of biomedical sciences,"$31,000",1.37,2017-2018,1st,
University of Denver (DU),Physics & Astronomy,"$25,745",1.15,2016-2017,,
Temple University (TU),Philosophy,"$16,620",0.69,2016-2017,,
Texas A&amp;M; University - College Station,Animal Science,"$17,000",,2016-2017,2nd,
University of Pennsylvania,"Operations, Information and Decisions","$37,000",1.53,2016-2017,1st,
Arizona State University (ASU),history,"$18,500",0.83,2016-2017,1st,
University of California - Davis (UCD),Chemical Engineering,"$11,919",0.50,2017-2018,1st,
University of Tennessee - Knoxville,political science,"$11,500",0.54,2017-2018,4th,
West Virginia University (WVU),,"$23,800",1.07,2017-2018,1st,
Stanford University (SU),Chemical Biology,"$35,700",1.24,2016-2017,1st,Rent starts at $1000/mo for 1 bedroom
University at Buffalo - SUNY,Biotechnology,"$9,345",0.44,2017-2018,,"tution waive, MS 2 yr program."
Tulane University (TU),School Psychology,"$19,000",0.82,2017-2018,1st,
Tufts University (TU),Child Study & Human Development,"$21,000",0.75,2017-2018,1st,
Ohio State University (OSU),Health Behavior Health Promotion,"$30,864",1.54,2017-2018,1st,
Brandeis University,English,"$24,000",0.86,2017-2018,1st,
University of Iowa (UI),English,"$18,816",0.85,2017-2018,1st,
Stony Brook University - SUNY,English,"$18,500",0.66,2017-2018,1st,
University of South Carolina (USC),Geological Sciences,"$30,000",1.33,2017-2018,,
University of Minnesota - Twin Cities (UM),Sport Management (Ph.D),"$25,492",1.11,2017-2018,1st,
Texas Tech University (TTU),Economics,"$15,300",0.75,2016-2017,1st,
Texas Tech University (TTU),Economics,"$10,000",0.49,2016-2017,1st,
University of Memphis,Ceri,"$18,000",0.80,2017-2018,1st,
University of Texas Health Science Center - Houston,Medical Physics,"$29,000",1.33,2017-2018,1st,
University of Minnesota - Twin Cities (UM),psychology,"$24,000",1.05,2017-2018,1st,
University at Buffalo - SUNY,Linguistics,"$19,100",0.91,2017-2018,1st,"$14,100 1/2 time Teaching Assistantship, $7,500 Fellowship for 4 years. Includes 88% of individual health care insurance fees. Must pay $2,500 in required fees."
University of California - San Francisco (UCSF),Epidemiology,"$36,000",1.20,2016-2017,1st,Tied to ~50% effort work.
University of Tulsa (TU),Anthropology,"$13,500",0.68,2017-2018,1st,
University of Massachusetts - Amherst (UMass),Computer Science,"$30,560",1.33,2017-2018,1st,
Southern Methodist University (SMU),Chemistry,"$25,000",1.16,2017-2018,1st,
Lehigh University,Counseling Psychology,"$7,000",0.31,2017-2018,1st,"The first year stipend is $7,000 and then during the second and subsequent years the stipend doubles ($14,000)."
Tulane University (TU),Biomedical Engineering,"$29,700",1.29,2017-2018,1st,
Yale University (YU),Chemical Engineering,"$34,000",1.38,2017-2018,1st,
Washington University in St. Louis (Wash U),Biomedical Engineering,"$29,500",1.43,2016-2017,1st,
University of Chicago (UC),Chemistry,"$32,300",1.33,2016-2017,1st,
Binghamton University - SUNY,Political Science,"$20,000",0.97,2016-2017,1st,
Cornell University (CU),Economics,"$32,500",1.34,2016-2017,,
University of Alabama (UA),History,"$15,000",0.71,2017-2018,1st,
University of Illinois - Urbana- Champaign (UIUC),Computer Science,"$25,600",1.16,2017-2018,1st,
University of Southern California (USC),Health,"$25,800",1.00,2016-2017,5th,
Indiana University,Psychological & Brain Sciences,"$23,500",1.09,2016-2017,1st,
Georgia Institute of Technology (Georgia Tech),Biomedical Engineering,"$24,342",1.05,2016-2017,4th,Health insurance and university fees not covered by department.
Johns Hopkins University (JHU),Political Science,"$29,000",1.13,2017-2018,1st,"Full tuition, health insurance. A lot of fellowship opportunities on top of this."
Stevens Institute of Technology,ECE,"$22,000",0.83,2016-2017,2nd,
Pennsylvania State University (Penn State),Physiology,"$32,000",1.42,2016-2017,1st,
Scripps Research Institute (SRI),Biology,"$30,000",1.13,2016-2017,5th,"Free premium healthcare with dental and vision, $30/month for gym fees, zero-interest $5k loan."
University of Rochester (UR),,"$22,500",1.05,2016-2017,1st,
Carnegie Mellon University (CMU),"ISM, Heinz College","$24,000",1.16,2016-2017,1st,
University of Maryland - College Park (UMD),neuroscience and cognitive science,"$21,766",0.72,2017-2018,1st,
University of Texas - Austin (UT),chemistry,"$26,720",1.17,2016-2017,1st,
University of Southern California (USC),History,"$29,000",1.12,2016-2017,3rd,
University of North Carolina - Chapel Hill (UNC),Marketing,"$28,220",1.27,2017-2018,1st,
University of Missouri (MU),Journalism,"$26,800",1.30,2017-2018,1st,
Emory University,Population biology,"$29,000",1.25,2016-2017,1st,
Georgia Institute of Technology (Georgia Tech),materials science,"$21,000",0.90,2016-2017,3rd,
New York University (NYU),Ece,"$33,000",1.11,2016-2017,1st,
Northwestern University (NU),Anthropology,"$29,800",1.23,2016-2017,2nd,5-year stipend including summers. Free health insurance. Required 'student activity' fees (110 per quarter) include u-pass for unlimited public transportation.
Cornell University (CU),Tri-Institutional Program in Computational Biology and Medicine,"$37,000",1.53,2017-2018,1st,$2500 research allowance for first year
University of Minnesota - Twin Cities (UM),Social Work,"$19,000",0.83,2016-2017,1st,
Portland State University (PSU),Social Work,"$10,500",0.45,2016-2017,1st,
University of Denver (DU),Social Work,"$16,000",0.71,2016-2017,1st,
University of Maryland - College Park (UMD),biological sciences,"$33,000",1.09,2016-2017,1st,
University of North Carolina - Chapel Hill (UNC),City planning,"$16,000",0.72,2016-2017,5th,
University of South Florida (UCF),Electrical Engineering,"$20,921",0.95,2017-2018,1st,
University of Delaware (UD),Biomedical Engineering,"$28,000",1.10,2017-2018,1st,Unsure about fees for next academic year.
University of Nebraska - Lincoln (NU),Complex Biosystems,"$26,000",1.33,2017-2018,1st,
Northern Illinois University (NIU),English,"$14,044",0.64,2017-2018,1st,Not sure of fees or summer opportunities.
Georgia Institute of Technology (Georgia Tech),Materials Science and Engineering,"$24,004",1.03,2017-2018,1st,Received offer. Have not accepted yet.
University of Tennessee - Knoxville,Energy Science and Engineering,"$28,725",1.35,2017-2018,1st,"Just received offer, have not yet accepted"
University of Kentucky (UK),Civil Engineering,"$18,440",0.90,2016-2017,1st,
,Biomedical sciences,"$27,000",,2016-2017,1st,
Medical University of South Carolina,,"$27,000",1.12,2016-2017,1st,
